"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","X082_1.mzData","X085_1.mzData","X088_1.mzData","X092_1.mzData","X095_1.mzData","X429_1.mzData","X430_1.mzData","X431_1.mzData","X433_1.mzData","X434_1.mzData","X435_1.mzData","X436_1.mzData","X442_1.mzData","X443_1.mzData","X444_1.mzData","X446_1.mzData","X447_1.mzData","X448_1.mzData","X450_1.mzData","X451_1.mzData","X452_1.mzData","X455_1.mzData","X458_1.mzData","X459_1.mzData","X462_1.mzData","X463_1.mzData","X465_1.mzData","X466_1.mzData","X472_1.mzData","X474_1.mzData","X477_1.mzData","X478_1.mzData","X480_1.mzData","X484_1.mzData","X489_1.mzData","X491_1.mzData","X493_1.mzData","X495_1.mzData","X496_1.mzData","X497_1.mzData","X501_1.mzData","X502_1.mzData","X503_1.mzData","X513_1.mzData","X515_1.mzData","X516_1.mzData","X523_1.mzData","X526_1.mzData","X528_1.mzData","X533_1.mzData","X534_1.mzData","X535_1.mzData","X537_1.mzData","X538_1.mzData","X550_1.mzData","X557_1.mzData","X560_1.mzData","X562_1.mzData","X564_1.mzData","X565_1.mzData","X566_1.mzData","isotopes","adduct","pcgroup"
"1085",102,102,102,507.317504882812,505.094024658203,508.904022216797,55,55,25401.6871298513,61818.7999999999,81422.5000000002,93525.4499999999,84034.5499999998,115141.05,99382.45,45656.0500000002,97584.5000000001,60725.9999999999,72943.9999999999,47584.2499999999,10869.8999999999,33586.5527385965,87735.6499999999,89552.45,92281.0499999999,50520.7000000001,51410.4000000001,97177.2000000001,74774.1324981513,68875.5,27887.95,59557.8000000002,50758.4500000001,79251.5000000001,114506.6,43500.9000000001,88348.5499999999,42607.8,35761.8999999999,54812.75,54959.7999999995,62486.9500000001,106733.25,93213.4500000001,64992.8000000003,105091.35,96817.95,55570.2499999999,43586.1499999999,33661.35,61190.5736908494,56058,67619.3499999999,35736.2999999999,42329.6499999999,96865.1651452106,95404.9999999999,27487.15,25277.5063147503,57486.1000000001,47584.95,59985.9999999998,84359.0499999998,63117.7,28773.3,65082.1500000002,39054.75,52968.5499999999,45208.6500000001,"","","31"
"1086",102,102,102,592.943969726562,592.743957519531,593.143981933594,32,32,27055.9500000001,28935.2500000002,30264.8500000002,25201.7499999999,33632.7999999999,3827.47567648711,3288.95175401988,2941.80161537701,4199.61094739313,5180.55289647238,4047.02658017242,6774.49156315511,6428.9458156787,8680.90220424113,4764.18943158023,8277.75594890456,8453.38664440803,7669.39087347236,9352.37497876343,10235.7815036514,26188.3500000001,11194.5892267535,9352.79830488094,11450.0885200124,12700.4106109245,16289.7344736402,14395.6002899618,12863.0016764981,20733.8478675115,16596.8,15466.7500000001,10575.2440992759,12989.8026675748,21058,14189.6,12945.6558391407,20801.2,12816.5284215971,16571.3552605779,16106.9500000001,18789.2499999999,20477.5999999999,23214.0999999999,20034.1,15591.6,21667.6999999999,17762.7,13772.194047344,19150.5999999999,21875.8500000001,18377.8499999998,19715.75,27512.8,25436.8000000001,21753.5999999999,23679.7000000001,24446.6000000001,28728.7499999999,33909.0500000001,25269.5,25663.7999999999,"","","43"
"1087",102,102,102,700.324951171875,699.966491699219,700.549194335938,32,32,9112.09999999992,5707.44774617234,8384.93627929688,5737.47163579235,9163.85,11570.0583967729,6631.63172773881,5301.01324039035,12291.5499999999,12462.299987372,7404.61992853338,9130.19999999994,8358.79999999995,11431.2210354509,5528.44865833629,10610.1778869629,7382.72438465465,9265.80000000004,9221.6,8214.50000000003,23545.7128684304,9527.25000000003,10366.8000000001,7672.85292469371,11419.654842403,19290.4500000002,7703.30534778942,6888.6,11151.4256647283,13359.6,7275.76339444247,6960.71923550692,5254.02450838956,11932.7,7440.60019213533,6107.90038507635,9389.99999999992,7843.18515569513,8079.80803333629,6463.56525209215,7689.84999999993,10002.0500000001,14424.7339727228,8513.6418096369,7364.8999999999,14756.85,9307,7604.05,7376.05,9172.8235168457,8235.99999999995,9001.05000000012,11133.8,9877.04999999983,9897.30000000004,19105.45,11724.2405668894,10969.4,12081.55,9247.85000000011,8401.14999999992,"","","3"
"1088",102,102,102,437.54541015625,436.977508544922,437.649261474609,24,24,19244.25,23009.85,20337.0456542969,13286.6955159505,14313.65,9120.04320721294,3948.79074023437,4637.00887372417,5554.83460546875,7152.34999999998,5191.0019765625,4385.379796875,5644.55575195312,7944.51523199314,11844.1,6860.61508277155,6418.51845092774,6945.84507788681,8050.13853799143,9858.9,17938.0081787109,9564.76943002096,8571.39999999997,7133.8832968435,12577.85,6226.97863769531,8050.68790690104,10696.85,12640.1400146484,11638.2,6667.16532389323,4975.04121907552,6370.98600260417,7035.00631640625,9844.92865734566,5504.58760579427,13393.1,9700.58775,8934.20592368521,9016.02459816855,8152.87052408854,7902,21502.45,8617.42075195312,5917.02793047505,8003.45000000002,7410.50000000003,9185.06522623698,9823.3819878045,8349.15546398628,7004.19999999995,6988.95922265625,17262.6,14403.55,13122.65,9733.49999999996,14405.4,16087.6048613758,15297.9,15245.2,12696.8,"","","18"
"1089",102,102,102,412.770660400391,412.513305664062,413.280578613281,23,23,9125.65,16979.1999999999,18283.3879401929,9466.70000000004,15638.5000000001,24722.8500000001,20282.8000000001,17267.8999999999,1941.34371660341,3689.87100644655,35751.2499999999,1161.86721149181,1183.65253638006,20418.6247646053,60128.35,2115.5311633379,2818.5795492197,21705.95,10405.9349017519,15402.9500000001,20323.0592210964,18829.5877030535,1759.33393655765,18108.65,16713.15,1027.13431255634,7545.50352592468,801.932084803427,21161.2285548619,2114.43126166621,12673.620972043,11503.1,1304.26926362009,1296.59369768415,26188.85,5065.75666799834,13312.0713390514,19360.75,14212.9194187071,8760.16036195393,14324.4683288574,7771.64999999997,12117.25,25923.85,4148.58131195993,4840.31772861481,1284.92733239824,9652.7,2454.18111793858,4050.96480843406,1371.29676251534,26880.0499999999,17788.1022144154,25256.45,997.449287414551,592.294654650566,830.079361363461,4697.33028885081,3620.47993595585,11052.35,15539.8663466752,"","","14"
"1090",102,102,102,517.341491699219,516.65673828125,518.344055175781,19,19,36126.4,11794.2643425351,11970.8996155869,13205.3256864492,12521.8654378255,19706.3162408873,16448.7021115325,15071.1732092569,15219.9691992471,15264.6531315293,15772.2000000001,14929,15028.55,47125.75,12745.4522669593,15902.0135079317,16132.0028608455,13054.2779179063,14702.2499999999,14201.3159641,27528.4423334199,13271.9804432004,12765.35,13770.4745923419,12926.6999999999,114001.800484591,83358.4999999999,13330.2999999999,117955.099808804,14823.65,11292.2465366097,90989.2964531079,15466,12708.1404312489,23196.3770886798,28690.9540180407,14270.34127647,23117.2900390625,32496.3521394951,12468.49815695,12880.9679754348,11818.15,16320.35,12446.6035962913,13827.3450516102,11410.1000000001,12247.15,54449.6000000003,31865.0599514274,12505.1000000001,29555.75,12888.8320227335,12712.8448828982,13559.9937126692,20309.6245521723,13850.2470296224,11865.7761797737,12409.9466474666,10764.9141852884,12203.7681370785,10889.4309318991,"","","20"
"1091",102,102,102,585.380493164062,585.044006347656,585.711547851562,13,13,11525.6500000001,11654.75,12473.4999999998,11902.85,18304.25,5577.64473818426,3572.59424204369,3408.33414239753,5081.10593514278,5486.25397351323,5158.31080313905,4578.23641694168,5787.81510778976,6964.48768335459,5986.55825011371,8251.51524164905,7303.50843915547,7791.55675851482,7676.35058804216,9600.85459281303,20491.0838530442,7517.91286546357,7002.28598832111,7656.69534050928,8515.0181511081,12513.1433412749,8600.5239057149,9081.95792986896,14165.583591827,9629.31818125199,10984.7667076374,6089.27796588766,8385.26917507224,12057.95,7917.91068131956,7025.83185023478,8823.58136864231,6053.76242817918,9173.45310689992,8869.22709911782,9886.86724811711,9859.75784737723,13218.734614124,12078.75,7797.94961779364,10915.2,7895.00588654819,6852.51051309664,8480.46250894625,8171.2729496368,10071.9000000001,8241.109399835,12347.2407038762,11442.2710188241,9302.92083196771,12427.4999999999,13432.25,12873.2,19992.9668123487,12634.9392185995,11978.3,"","","66"
"1092",102,102,102,891.843994140625,891.743957519531,891.944030761719,5,5,2474.90785078569,2571.40009307861,1170.32670107755,5564.11779854514,789.285423278809,427.60293301669,3478.95010930842,2541.8842274059,3985.84864737771,1935.37592801181,451.98997705633,1575.00078444047,1975.75282773105,1123.36278533936,908.253972140226,1247.2087430087,1129.29612801292,1121.40176530318,1173.84648062966,469.438027121804,19209.8505790017,1564.03918526389,5828.80522086404,996.349026073109,3143.86709594727,9764.50000000005,726.482499556108,1867.19276983088,5313.81118982488,2562.19838367809,1543.77531155673,2842.32255346125,2221.8859835538,3291.3458591808,2706.91160583496,11888.25,1575.95615317605,6672.74779233066,1393.6315723766,4033.01369337602,11637.2,3990.47464336049,1447.73561234908,401.053738680753,7648.45000000004,3639.90459997004,9249.64999999998,1253.69519389759,2305.80758458918,1372.61863211496,3777.72911071777,571.059091047807,2434.73208132657,645.322416992188,5116.6029697765,3677.06341552734,7127.60387559371,5015.33388380571,3943.96327070756,4034.82386571711,5636.72582244873,"","","45"
"1093",102,102,102,443.793975830078,443.593994140625,443.943878173828,5,5,4285.62307837702,8975.01443286652,5261.59911592675,4126.7085506358,8615.60000000003,4455.81051039422,1336.60590768368,3701.71038688497,5099.19659620716,2522.85342945772,2487.90852864583,2974.37522977941,1372.34940831801,6581.54999999999,1574.64249195772,1961.76579382064,2482.55980024388,1266.95384963015,2258.96295779597,5899.7159594464,16991.5777574476,4294.95897658328,1855.8521082261,3151.65955307904,3613.16282101895,5212.48245059743,4951.38088809743,1791.6376953125,7991.03150850184,1339.2064855239,1265.89851541722,3440.97411053632,2676.72959607713,2990.03728170956,4246.58663956926,3296.81140854779,1826.49839154412,4854.78139361213,2270.88255648226,2349.69703198505,8846.81645300033,4382.24213005515,3290.14240579044,5098.99134546397,1714.94416360294,2677.63416825964,2168.94157858456,2826.98362400221,4482.95922851562,6184.67966424851,1087.30006318934,3086.23259420956,6805.40000000001,4128.00813014533,1584.10690762134,2362.14056755515,2015.68834670047,7675.34999999999,4999.73115808824,3025.3130250336,10763.6,"","","19"
"1094",102,102,102,343.791809082031,343.017211914062,344.068634033203,5,5,11346.7906903999,9257.51444091797,12543.6857416142,11808.8355557801,10514.5140104667,164.69270947699,261.834784760346,301.518474744714,203.201384513609,165.214283054158,223.349383407764,56.3356594128555,617.534311134722,197.898908391345,204.83632399916,176.822633036067,176.979995213198,276.781399484408,136.787000812468,87.1792456054688,13103.9956678678,136.940063476562,303.34063131159,134.470541580864,319.555315457858,317.661781568206,340.223438008626,656.133465644368,167.123906822844,157.93023074757,53.7118284163937,729.716526094721,302.994949833039,11666.7105314222,12770.6750309976,12755.6640969766,10184.6593469238,13359.5874683011,10344.505748291,11730.8,10261.1171946318,12081.75,14758.248500061,9678.52934921521,12572.2,11263.6398599161,11824.7999999999,15664.573861084,12533.0014199545,11726.7233691548,11232.7,9530.87701003616,7654.17147979736,9097.8942708219,11060.3689942755,9129.38696628147,7813.76645137487,11634.4765990864,11767.1330171782,13301.9309399414,10822.7187863054,"","","60"
"1095",102,102,102,372.093994140625,371.931549072266,372.140777587891,4,4,723.838632038661,1107.78003773491,899.27926554362,1754.48147878773,2245.90792252532,9331.29999999996,1172.48787142323,1792.97389160156,1596.34381225586,1581.47395479312,5173.46310262764,801.438448475525,1982.98331737518,1351.56585351234,5531.53464111328,1157.33763493718,2549.84485026042,2307.98145757403,1499.24757486083,1738.35502951486,17072.6567890997,2444.29516398112,6185.29999999998,760.69933460877,2136.96299785649,6346.90000000002,1837.44199559596,2351.96156712582,3795.10623520032,588.698969159807,888.135483124183,1508.05394970058,1928.99866704059,2700.51722114965,1509.11071468135,4801.3362069151,2179.26193518388,3667.935502584,1936.24505548015,989.141191813151,762.833349690038,1355.42689319224,4671.49766717638,1270.8868230298,1459.09050559157,3722.63077225874,1413.67533162435,2512.03563850804,4386.02756947253,8402.74999999997,1409.58317797525,754.530196269703,1292.97711504293,1967.09252849024,1892.48134532728,2045.09497965495,1930.60853416041,2196.36020717537,3384.41565627043,747.743170501989,2581.93114257812,"","","56"
"1096",102,102,102,633.142944335938,633.091003417969,633.593994140625,4,4,3652.46865492011,8082.20057915922,9223.83585913577,6176.6259684347,7954.89411703905,13867.0524745922,4797.77430288037,5288.89970650984,3548.13970195828,3855.2941952806,7563.97478726641,5954.43722579956,3239.93865097046,5299.1135645196,11010.3497659501,4074.51069403414,4483.72529983521,5430.44795059204,5654.32154296875,4357.35553573608,21923.3902261564,6765.28486495972,5721.97077080755,5614.85855087204,3201.02089725324,9354.66185219923,7210.56360154655,4891.95066604614,12991.8,3119.53312478137,6003.56560405175,6547.03146070931,8702.99555854222,4837.79639760693,6833.42072146622,6468.09340955265,9456.4265754738,7680.09999999992,7615.71189213278,3912.91017379761,3164.5470300293,6412.00517877258,18746.8318484512,4635.42336836772,5645.62930711909,5613.7021335621,4520.94584793091,23779.7,9905.56900285117,11183.4500000001,3218.6613266528,6442.95390281486,5175.36969408198,6788.49767990112,6697.66738508215,3179.69509120922,2073.25512066558,4934.13098742614,4580.66012711958,6171.45703445435,7990.54193759324,"","","13"
"1097",102,102,102,658.813018798828,658.498474121094,659.2939453125,4,4,1793.53686082499,3267.99420908649,2292.84789180393,2872.25322554494,3744.43143756127,13058.53346119,1717.1905287826,1715.58745569127,2093.82757955523,6064.88240606135,5196.10860600362,2085.17784275301,1635.97849752332,2259.23945391405,3017.77427708284,1141.33251837089,13885.95,2200.29928298776,2461.41298051314,1566.35385305891,24836.3847913851,2243.49150563014,6127.52049319191,1445.46380035052,1845.00291645935,3818.37662606869,1249.11443788951,1602.92165066701,3948.48983358521,1078.63020887484,1880.39382305582,49238.55,1702.24229819874,8420.83496676147,1864.71652256491,2580.77689700979,7062.4370087018,22563.4511530771,2778.51490023653,2810.97325332292,1530.5390597045,2107.75067417159,39049.3499999998,17572.9,5025.91615811772,4271.29310330478,2044.64706989477,3842.69849700348,5141.17315021544,10727.7048804543,2489.59709861062,2160.37045230068,2415.29698239392,2679.04759414323,5197.3712532737,2164.41765241481,1758.03529183191,2672.11688923386,4130.2298451198,2363.47577322028,2578.84451713271,"","","2"
"1098",103,103,103,443.143615722656,442.712890625,443.398803710938,57,57,103876.7,224207.05,125690.55,107274.6,215324.900000001,116771.9,24137.2,96923.2999999998,133145.2,66444,72559.5867908406,55660.8000000001,33928.0499999999,177397.1,42239.5590140286,51992.8,50882.6000000001,20843.85,37859.15,154605.4,101463.05,126522.05,32427.2000000001,75158.1500000001,90274.8500000004,125545.55,120281.8,40593.6999999999,207771.45,30718.3000000001,22880.3691289196,85182.1499999999,41798.9000000001,88313.9500000002,92479.8,80391.6,34227.1499999999,139950.45,37034.5000000001,49315.6499999998,244015,116871.5,65270.3,146695.9,28677.25,66465.95,38518.9500000001,33489.3047949444,116979.8,169385.45,26744.9,69817.9500000003,189737.8,92268.8499999998,21249.7,51338.2000000001,33839.8000000001,182501.45,115337.350000001,71479.3500000002,310714.250000001,"[48][M]+","","19"
"1099",103,103,103,517.167999267578,515.926513671875,517.393981933594,60,60,66946.7500000001,33026.1000000002,33858.2000000003,37629.85,34293.6499999999,53407.4999999995,53288.4500000001,54160.9000000003,46955.6499999999,52811.4999999998,48649.6,49267.05,88125.9,48127.6,45764.4999999997,46362.8999999998,47355.0999999995,43255.9000000001,50092.7500000006,43033.4,62409.2118511715,45518.9500000003,42972.1000000003,46940.9000000003,46874.5500000002,88001.5500000006,81844.1500000002,46366.5499999995,344866.5,51789.5499999998,37706.9999999998,191817.25,42364.5,38711.7500000001,42953.35,49668.7999999997,42737.4999999997,49438.1000000003,52242.3000000005,37329.9500000002,39067.7999999999,38677.7999999998,73297.3000000002,40372.2000000002,42713.5999999999,38008.9999999999,40168.9500000002,61442.6000000004,47153.1000000001,38503.2000000001,72591.35,38455.5,59617.8500000003,41909.35,43593.5500000004,40150.7999999996,82008.4499999999,36397.7999999997,48208.5,36943.1000000003,50354.7499999996,"","","20"
"1100",103,103,103,354.037628173828,353.653411865234,355.494018554688,60,60,88802.5000000002,121715.8,116462.7,84614.8999999998,116970,120715.45,67577.9500000001,57539.9499999998,105294.55,60216.95,108625.35,70848.9,91293.1500000001,49960.7499999999,111622.7,100901.75,100023.95,92872.9500000002,79653.1000000001,93102.2499999999,96095.4578882458,92314.5,102538.2,62555.25,58439.4499999998,110534.9,88180.7499999999,89643.95,91696.2999999999,81863.9500000001,59967.1999999999,59433.25,68992.0999999999,115937.35,68927.4000000001,104481.2,85467.6,115680.6,94576.5,90712.9,86239.7999999999,71041.45,135418,81705.6499999999,85724.4500000001,138533.9,94897.6,122089.95,144829.95,132358.45,75991.3,68529.05,70761.6,82332.75,70858.2500000001,133897.95,60776.5,80155.75,136355.3,81076.9999999999,129186.3,"","","5"
