"","mz","mzmin","mzmax","rt","rtmin","rtmax","npeaks","X1","Volunteer1_plasma_0h_POS.mzML","Volunteer1_plasma_1h_POS.mzML","Volunteer1_plasma_24h_POS.mzML","Volunteer1_plasma_4h_POS.mzML","Volunteer2_plasma_0h_POS.mzML","Volunteer2_plasma_1h_POS.mzML","Volunteer2_plasma_24h_POS.mzML","Volunteer2_plasma_4h_POS.mzML","Volunteer3_plasma_0h_POS.mzML","Volunteer3_plasma_1h_POS.mzML","Volunteer3_plasma_24h_POS.mzML","Volunteer3_plasma_4h_POS.mzML","Volunteer4_plasma_0h_POS.mzML","Volunteer4_plasma_1h_POS.mzML","Volunteer4_plasma_24h_POS.mzML","Volunteer4_plasma_4h_POS.mzML","isotopes","adduct","pcgroup"
"7361",459.27182167547,459.270955844996,459.272687505944,250.150741577148,247.525756835938,252.775726318359,2,2,167185.559820391,253198.078809156,209448.144867826,38521.1828687862,195317.347463689,46362.4022377858,79146.773330535,47639.4363941997,177693.428916545,87469.7036410645,63692.788283868,33789.6960994196,198230.748393352,75557.8066382529,317472.129315062,38230.8662158946,"","","4"
"7362",459.279272448546,459.279272447128,459.280214667248,213.813377380371,210.552719116211,216.691009521484,16,16,45888709.9931103,56858474.3212602,58459029.5935181,59127629.3733906,51757429.9664449,57306926.8713913,63150739.5301705,62202481.8665239,56535472.9783569,54689653.4435149,66479469.1046579,54979353.7623306,63630720.3950174,62694903.8162654,76832101.281695,62700637.6590783,"","[M+H]+ 458.264","5"
"7363",459.297805488268,459.296089467801,459.299106753997,214.029457092285,208.362487792969,221.489929199219,16,14,1303834.89944786,1822270.43812751,1522726.59652148,1333177.34534965,1258263.83755555,396121.198701734,987517.310860817,1455222.28740629,1557686.91250547,586109.001426869,1194204.89499914,923581.483941956,2626538.90857038,824574.08341287,3252764.66425853,1248854.77785819,"[860][M+2]+","","5"
"7364",459.326642051924,459.325996439569,459.32767089738,216.48405456543,214.577514648438,217.285858154297,6,6,284989.627470793,527135.677611394,62051.4840110938,218681.575636864,51382.6970565418,NA,35991.974531129,69601.150589784,507886.343237315,186446.76970791,140909.362001032,269843.052668904,157430.167746976,441745.897616953,194019.479093701,166621.436003998,"[865][M+1]+","","5"
"7365",459.335060551564,459.334948909466,459.335787540792,190.476669311523,188.162811279297,192.954406738281,15,15,467568.125283984,765452.555087464,683238.13562435,655138.474371994,295248.868914714,479935.949285658,628348.961865125,703252.139734861,603557.410702148,700629.589088542,574400.503898657,435598.803257937,753976.566177994,539907.926440428,751635.809827566,683294.89283567,"[866][M+1]+","","1"
"7366",459.350477693703,459.349939094099,459.351065446026,179.939041137695,177.100250244141,180.54313659668,7,7,581015.441366221,251218.715813452,415355.572968262,303864.947508693,702638.54357461,286782.302195728,309910.870314504,330194.081977467,876791.374993359,165848.763106763,710601.778753131,827373.768622575,347139.915508265,139423.908414175,449542.257894496,149078.912897115,"[867][M+1]+","","2"
"7367",459.90167109708,459.90167109708,459.90167109708,839.494018554688,839.494018554688,839.494018554688,1,1,8508.43461358845,9830.15674918592,NA,18141.0034701565,7435.18378224894,3594.58150997609,18870.4987580746,3505.56876306832,3002.64615667313,3932.88623938859,5438.00404574871,NA,NA,NA,8297.94553699642,3309.79443102255,"","","3854"
"7368",460.096653288206,460.096653288206,460.096653288206,687.567016601562,687.567016601562,687.567016601562,1,1,245249.231795189,NA,NA,NA,21058.7469406128,NA,NA,NA,37054.3489001095,44427.256331563,NA,NA,NA,NA,NA,NA,"","","2005"
"7369",460.104110971456,460.104083682121,460.104204062483,823.793762207031,820.493774414062,827.461486816406,16,16,889329.39371482,843508.536061898,886859.640747471,958651.732017187,819321.365969266,702321.000787803,999333.649250688,819390.215860011,1158153.71866856,1453361.22394593,1321222.38041693,1227081.93425997,536186.795491646,589852.279404248,976946.613592001,480233.215209961,"[868][M]+","[M+H]+ 459.097","23"
"7370",460.210402672208,460.209965161307,460.211252370653,363.339752197266,362.565216064453,369.172180175781,3,3,17367.8830165893,14338.9262693465,33891.7002218664,35427.1983853417,7834.83753324598,NA,7148.48531020731,13827.5417567685,6674.63057857975,22733.6717325047,27190.1916320801,23657.0946812521,NA,3476.62550937794,23794.0163813621,NA,"","","2702"
"7371",460.238302903378,460.237953087074,460.238380295956,405.952072143555,399.653472900391,414.156860351562,16,16,571247.202857881,454915.23085576,705723.601428223,575383.386514946,581818.327544317,414641.522520895,570112.745305046,631155.279007081,531367.444096749,629490.407267456,611432.478663325,619270.639933813,483367.963585723,485237.144397928,581434.54522069,597762.438393524,"","","105"
"7372",460.253302736827,460.253302736827,460.253302736827,268.94287109375,268.94287109375,268.94287109375,1,1,NA,38923.9713112116,67801.0395981073,47110.914222002,132461.023002068,NA,NA,46071.8071658611,38687.3666391671,NA,132187.255058521,60739.1291753451,179215.965594761,40685.322830081,13636.3564730585,188439.694003649,"","","933"
"7373",460.254765282844,460.253672542805,460.255416550157,183.415046691895,180.342590332031,184.807266235352,4,4,504608.994139595,633683.202682616,27148.7196628749,28288.1776806983,46332.705917521,0,54099.3496429378,0,974839.505067934,1354090.38661956,0,1194626.83035294,140228.667850842,163959.471378814,0,108363.162467678,"","[M+K]+ 421.298 [M+Na]+ 437.272 [M+NH4]+ 442.228 [M+H]+ 459.254","2"
"7374",460.26822590249,460.267925324019,460.268930343172,396.749755859375,392.673217773438,400.715667724609,7,7,143656.694522493,102972.775533863,139083.70902811,40520.9124272697,66315.8499100947,6986.75967481583,71676.4062174611,24724.6014112072,139244.921978784,110646.278048712,89905.8493945314,47623.6363674641,5244.6340984568,NA,14080.0747567767,3977.21083854748,"","","1615"
"7375",460.268228152269,460.268225898703,460.269876725266,184.0908203125,181.554794311523,186.923858642578,16,16,120413492.778624,87375732.3219073,3945749.15584179,20514661.7878982,25969206.0873161,12977918.5919686,22370230.8456441,43742144.4978046,224774923.661487,152051137.074874,51873382.9227682,166027523.104851,11073743.2352551,11150515.9267916,26740466.6675171,55027897.4898789,"[869][M]+","[M+K]+ 421.298 [M+Na]+ 437.272 [M+NH4]+ 442.228 [M+H]+ 459.254","2"
"7376",460.274434844135,460.273822275528,460.274791397432,241.83358001709,238.187881469727,249.792327880859,8,8,296577.036284149,458679.769381158,470313.638832896,357351.489023437,186417.10040836,153561.876536766,170419.3829523,99627.2798337042,261783.861836702,335872.521675527,372964.651035165,213155.759629937,345856.444571724,303618.282362103,510065.682297297,304051.126728467,"","","4"
"7377",460.283158591537,460.283095060899,460.283967691334,213.430183410645,210.552719116211,216.691009521484,16,16,8960221.93434114,11145842.7347891,11344792.4622112,11508530.1986376,9040353.91217487,11126180.3848777,11327701.5451758,12735757.4955886,12330045.2995435,11130921.5033684,13101930.0637846,11912868.5454378,12632008.6861291,12827978.6653031,15143860.0845738,12744774.4820404,"[860][M+3]+","","5"
"7378",460.289730425385,460.289208579481,460.290252271289,267.047897338867,265.898590087891,268.197204589844,2,2,54744.9058692786,45882.6421044966,147157.249734922,93587.3046798158,25228.340242471,24183.5390849337,27473.5344090212,13533.511661835,91205.8403522679,35957.7713179253,96006.0411875896,88050.8148979727,145836.01745856,163912.622280572,79844.226465176,150155.432793766,"","[M+Na]+ 437.301","7"
